id;status;collection_date;customer_name;customer_phone;customer_adress
1;READY;2023-04-11;input synthesize Orchestrator;Marks salmon;connect Keys online
2;DECLINED;2023-04-11;Salad;Lek Pike;synergize
3;COMPLETE;2023-04-11;Account online deliverables;Path;Finland Small generate
4;DECLINED;2023-04-11;neutral SDD Grove;tan;Gorgeous proactive
5;PENDING;2023-04-11;impactful protocol programming;RSS channels;Mobility Hryvnia
6;PENDING;2023-04-11;Grocery generate Auto;Granite payment;quantifying Internal Wooden
7;PENDING;2023-04-10;matrix;initiatives Personal hacking;Bacon Tasty Computer
8;PAID;2023-04-10;product red;mobile Corporate;Industrial overriding SDR
9;READY;2023-04-10;bypassing;Assistant Mexico;solid
10;PAID;2023-04-11;programming;24/7;Frozen payment
